id,ingrediente,cantidadDisponible
1,Potatoes,2
2,Cornish Hen,50
3,"Soup - Campbells, Creamy",21
4,"Nut - Almond, Blanched, Ground",99
5,"Red Snapper - Fillet, Skin On",18
6,Potatoes - Mini White 3 Oz,78
7,Cheese - Mozzarella,92
8,Lettuce - Arugula,37
9,"Cheese - Cheddar, Old White",33
10,Spic And Span All Purpose,42
11,Sambuca - Ramazzotti,20
12,"Beef - Bones, Cut - Up",89
13,Energy Drink,73
14,"Pork - Loin, Center Cut",11
15,Basil - Fresh,24
16,Lobster - Base,15
17,Ecolab Silver Fusion,9
18,Petite Baguette,1
19,Squid - U - 10 Thailand,12
20,Cherries - Fresh,18
21,Lamb - Whole Head Off,63
22,Beef - Short Loin,94
23,Chicken,4
24,Wine - Rosso Toscano Igt,76
25,Bread - Italian Roll With Herbs,42
26,Sandwich Wrap,5
27,Cheese - Cream Cheese,51
28,Tomatoes,52
29,"Veal - Inside, Choice",26
30,Sugar - Palm,5
31,Nantucket - 518ml,99
32,Lamb Leg - Bone - In Nz,26
33,"Soup - Campbells, Spinach Crm",58
34,Bread - 10 Grain Parisian,40
35,Sauce - Plum,77
36,Eggplant - Asian,67
37,"Wine - White, Gewurtzraminer",73
38,Mcgillicuddy Vanilla Schnap,52
39,Mushroom - Crimini,28
40,Oven Mitt - 13 Inch,91
41,Limes,78
42,"Pork - Bacon,back Peameal",38
43,Steampan - Half Size Shallow,16
44,Sorrel - Fresh,91
45,Pate Pans Yellow,18
46,Flour - Semolina,22
47,Muffin - Mix - Mango Sour Cherry,31
48,Apple - Custard,70
49,Heavy Duty Dust Pan,80
50,Bread - Corn Muffaleta Onion,67
51,Sugar - Invert,13
52,Salt - Table,58
53,Bar - Granola Trail Mix Fruit Nut,11
54,Onions - White,34
55,Spice - Peppercorn Melange,95
56,Nantucket Pine Orangebanana,64
57,Pepper - Chili Powder,7
58,Venison - Ground,36
59,Tuna - Sushi Grade,8
60,Cassis,47
61,Pickles - Gherkins,59
62,Sea Urchin,26
63,Chicken - Tenderloin,10
64,Kellogs Raisan Bran Bars,26
65,Danishes - Mini Raspberry,59
66,"Pepper - Green, Chili",54
67,Nantucket Cranberry Juice,4
68,Magnotta - Bel Paese White,28
69,"Flour - Bran, Red",74
70,Flavouring - Raspberry,15
71,Chip - Potato Dill Pickle,4
72,Godiva White Chocolate,28
73,Milkettes - 2%,66
74,Container - Hngd Cll Blk 7x7x3,83
75,Cake Sheet Combo Party Pack,35
76,"Wine - Saint - Bris 2002, Sauv",43
77,Curry Paste - Madras,78
78,Ham - Cooked Bayonne Tinned,43
79,Cod - Fillets,61
80,Bread - Pumpernickel,48
81,Pancetta,99
82,Puree - Kiwi,65
83,Zucchini - Yellow,64
84,"Jam - Blackberry, 20 Ml Jar",52
85,Beer - Mill St Organic,29
86,Salmon Steak - Cohoe 6 Oz,17
87,Soup - Base Broth Beef,51
88,Sesame Seed Black,10
89,Cheese - St. Paulin,100
90,"Liqueur Banana, Ramazzotti",46
91,Bacardi Breezer - Tropical,56
92,"Cup - 3.5oz, Foam",25
93,"Nut - Pine Nuts, Whole",69
94,Calypso - Black Cherry Lemonade,21
95,Ice Cream - Super Sandwich,23
96,Mushrooms - Honey,90
97,Carbonated Water - Cherry,3
98,"Pasta - Penne, Rigate, Dry",3
99,Wine - Jaboulet Cotes Du Rhone,56
100,Pomello,57
101,Trout Rainbow Whole,34
102,Pate - Liver,35
103,Bread - Raisin Walnut Oval,88
104,"Bread - Multigrain, Loaf",59
105,"Tart Shells - Savory, 2",56
106,Ecolab - Solid Fusion,92
107,Cranberries - Dry,68
108,Muffin Hinge 117n,51
109,Snapple - Mango Maddness,80
110,Wine - Jafflin Bourgongone,15
111,Hold Up Tool Storage Rack,48
112,Buffalo - Short Rib Fresh,72
113,Salt - Seasoned,55
114,Cake - Night And Day Choclate,49
115,Silicone Paper 16.5x24,69
116,Cream - 35%,4
117,V8 Splash Strawberry Kiwi,10
118,Bagelers - Cinn / Brown,62
119,"Tart Shells - Sweet, 3",73
120,Cake - French Pear Tart,69
121,"Tarragon - Primerba, Paste",98
122,Plastic Wrap,11
123,Wine - Vidal Icewine Magnotta,81
124,"Club Soda - Schweppes, 355 Ml",93
125,Chocolate - Milk Coating,29
126,"Spoon - Soup, Plastic",73
127,Cheese - Grie Des Champ,8
128,Pea - Snow,51
129,"Wine - White, Riesling, Semi - Dry",18
130,Dasheen,47
131,"Pasta - Orzo, Dry",43
132,Pheasants - Whole,40
133,Campari,13
134,Horseradish Root,4
135,Pickle - Dill,11
136,Tea - Apple Green Tea,14
137,Sea Bass - Fillets,76
138,Canada Dry,8
139,Oil - Cooking Spray,24
140,Energy Drink - Redbull 355ml,87
141,"Wine - White, Antinore Orvieto",39
142,Crab,61
143,Wine - Vouvray Cuvee Domaine,10
144,"Pepper - White, Ground",18
145,Red Currant Jelly,68
146,"Rum - Cream, Amarula",49
147,Scotch - Queen Anne,8
148,Rice Paper,56
149,Bread - Frozen Basket Variety,59
150,Cheese - St. Andre,9
151,Cheese - Augre Des Champs,22
152,Egg Patty Fried,95
153,Potatoes - Idaho 100 Count,29
154,Sour Puss Raspberry,80
155,"Chicken - Base, Ultimate",33
156,Mustard - Individual Pkg,9
157,Nescafe - Frothy French Vanilla,11
158,Scallop - St. Jaques,30
159,"Lamb - Shoulder, Boneless",70
160,Shark - Loin,45
161,Sauce - Hoisin,73
162,Creme De Menthe Green,87
163,Liqueur - Melon,27
164,Dikon,79
165,Cafe Royale,36
166,"Wine - Red, Black Opal Shiraz",34
167,Dehydrated Kelp Kombo,83
168,Bread - Dark Rye,8
169,Garam Marsala,48
170,White Fish - Filets,17
171,Chicken - Wieners,30
172,"Beef - Cooked, Corned",73
173,Wonton Wrappers,68
174,Cake - Sheet Strawberry,11
175,Tea - Lemon Green Tea,1
176,Rice Paper,22
177,"Juice - Pineapple, 48 Oz",17
